permit_id,description,issued_at,work_class,permit_type,estimated_cost,contractor_name,status,address,zip_code,permit_class,contractor_phone,portal_link,source_updated_at,raw_payload,ingested_at
2026-035145 PP,New construction multi-family in the etj 33623 sqft,2026-05-01T00:00:00+00:00,New,Plumbing Permit,,"Red Kings Plumbing Contractors LLC,",Active,5121 E HOWARD LN BLDG 7,78653,Commercial,2109862480,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13674663,2026-05-01T00:00:00+00:00,"{""permittype"": ""PP"", ""permit_type_desc"": ""Plumbing Permit"", ""permit_number"": ""2026-035145 PP"", ""permit_class_mapped"": ""Commercial"", ""permit_class"": ""Commercial"", ""work_class"": ""New"", ""condominium"": ""No"", ""permit_location"": ""5121 E HOWARD LN BLDG 7"", ""description"": ""New construction multi-family in the etj 33623 sqft"", ""tcad_id"": ""0251410311"", ""legal_description"": ""ABS 160 SUR 50 CASTRO M ACR 45.592"", ""applieddate"": ""2026-03-24T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-28T00:00:00.000"", ""total_new_add_sqft"": ""33623"", ""number_of_floors"": ""3"", ""housing_units"": ""36"", ""original_address1"": ""5121 E HOWARD LN BLDG 7"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78653"", ""jurisdiction"": ""AUSTIN 2 MILE ETJ"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13674663""}, ""project_id"": ""13674663"", ""contractor_trade"": ""Plumbing Contractor"", ""contractor_company_name"": ""Red Kings Plumbing Contractors LLC,"", ""contractor_full_name"": ""Ubaldo De Santiago"", ""contractor_phone"": ""2109862480"", ""contractor_address1"": ""PO BOX 70170"", ""contractor_city"": ""San Antonio"", ""contractor_zip"": ""78270-____"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-009598 BP,"Total demo of shed 723 sq ft circa 1930. Submitted concurrently with new construction so demo tree review fee is waived
***The building shall not be d",2026-05-01T00:00:00+00:00,Demolition,Building Permit,0.0,Nygard & Company,Active,1902 EVA ST,78704,Residential,5128446871,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13645639,2026-05-01T00:00:00+00:00,"{""permittype"": ""BP"", ""permit_type_desc"": ""Building Permit"", ""permit_number"": ""2026-009598 BP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 649 Demolition All Other Bldgs Res"", ""work_class"": ""Demolition"", ""condominium"": ""No"", ""permit_location"": ""1902 EVA ST"", ""description"": ""Total demo of shed 723 sq ft circa 1930. Submitted concurrently with new construction so demo tree review fee is waived\n***The building shall not be d"", ""tcad_id"": ""0402010702"", ""legal_description"": ""LOT 2 BLK 36 SWEETMAN R L ADDN"", ""applieddate"": ""2026-01-16T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2028-05-01T00:00:00.000"", ""total_existing_bldg_sqft"": ""723"", ""total_job_valuation"": ""0"", ""number_of_floors"": ""1"", ""housing_units"": ""1"", ""original_address1"": ""1902 EVA ST"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78704"", ""council_district"": ""3"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13645639""}, ""project_id"": ""13645639"", ""masterpermitnum"": ""13641894"", ""latitude"": ""30.24529588"", ""longitude"": ""-97.75281626"", ""location"": {""latitude"": ""30.24529588"", ""longitude"": ""-97.75281626"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}, ""contractor_trade"": ""General Contractor"", ""contractor_company_name"": ""Nygard & Company"", ""contractor_full_name"": ""Chris Nygard"", ""contractor_phone"": ""5128446871"", ""contractor_address2"": ""100 W COMMON"", ""contractor_city"": ""DRIPPING SPR"", ""contractor_zip"": ""78620"", ""applicant_full_name"": ""Chris Nygard"", ""applicant_org"": ""Nygard & Company"", ""applicant_phone"": ""5128446871"", ""applicant_address2"": ""100 W COMMON"", ""applicant_city"": ""DRIPPING SPR"", ""applicantzip"": ""78620"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-047006 PP,Moscoso S423 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-01T00:00:00+00:00,New,Plumbing Permit,,IES Residential Inc,Active,9320 FURMAN DR,78747,Residential,5125615002,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688218,2026-05-01T00:00:00+00:00,"{""permittype"": ""PP"", ""permit_type_desc"": ""Plumbing Permit"", ""permit_number"": ""2026-047006 PP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 101 Single Family Houses"", ""work_class"": ""New"", ""condominium"": ""No"", ""permit_location"": ""9320 FURMAN DR"", ""description"": ""Moscoso S423 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2."", ""tcad_id"": ""0340060223"", ""legal_description"": ""THAXTON SUBD (SMALL LOT) PHS 1 BLK A LOT 23"", ""applieddate"": ""2026-04-06T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-25T00:00:00.000"", ""total_new_add_sqft"": ""2403"", ""number_of_floors"": ""1"", ""housing_units"": ""1"", ""original_address1"": ""9320 FURMAN DR"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78747"", ""council_district"": ""2"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688218""}, ""project_id"": ""13688218"", ""masterpermitnum"": ""13688149"", ""contractor_trade"": ""Plumbing Contractor"", ""contractor_company_name"": ""IES Residential Inc"", ""contractor_full_name"": ""Charles Faught"", ""contractor_phone"": ""5125615002"", ""contractor_address2"": ""13279  POND"", ""contractor_city"": ""AUSTIN"", ""contractor_zip"": ""78729-____"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-048005 BP,*Partial Demo* Interior remodel,2026-05-01T00:00:00+00:00,Addition and Remodel,Building Permit,1.0,Bespoke Design Build LLC,Active,506 E 38TH HALF ST,78751,Residential,5127852706,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689317,2026-05-01T00:00:00+00:00,"{""permittype"": ""BP"", ""permit_type_desc"": ""Building Permit"", ""permit_number"": ""2026-048005 BP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 434 Addition & Alterations"", ""work_class"": ""Addition and Remodel"", ""condominium"": ""No"", ""permit_location"": ""506 E 38TH HALF ST"", ""description"": ""*Partial Demo* Interior remodel"", ""tcad_id"": ""0218060814"", ""legal_description"": ""LOT 5-7 BLK 4 OLT 11 DIV C OAKLAWN ADDN"", ""applieddate"": ""2026-04-10T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-29T00:00:00.000"", ""remodel_repair_sqft"": ""521"", ""total_new_add_sqft"": ""0"", ""total_valuation_remodel"": ""4"", ""total_job_valuation"": ""1"", ""number_of_floors"": ""1"", ""housing_units"": ""1"", ""building_valuation_remodel"": ""1"", ""electrical_valuation_remodel"": ""1"", ""mechanical_valuation_remodel"": ""1"", ""plumbing_valuation_remodel"": ""1"", ""original_address1"": ""506 E 38TH HALF ST"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78751"", ""council_district"": ""9"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689317""}, ""project_id"": ""13689317"", ""masterpermitnum"": ""13684703"", ""contractor_trade"": ""General Contractor"", ""contractor_company_name"": ""Bespoke Design Build LLC"", ""contractor_full_name"": ""James Christian"", ""contractor_phone"": ""5127852706"", ""contractor_address2"": ""8610  Buffal"", ""contractor_city"": ""Lago Vista"", ""contractor_zip"": ""78645-____"", ""applicant_full_name"": ""James Christian"", ""applicant_org"": ""Bespoke Design Build LLC"", ""applicant_phone"": ""5127852706"", ""applicant_address2"": ""8610  Buffal"", ""applicant_city"": ""Lago Vista"", ""applicantzip"": ""78645-____"", ""certificate_of_occupancy"": ""No"", ""total_lot_sq_ft"": ""0""}",2026-05-03T10:54:27.260194+00:00
2026-054365 EP,New Service for SFR in ETJ,2026-05-01T00:00:00+00:00,New,Electrical Permit,,PowerHouse Electrical Services,Active,722 CRYSTAL MOUNTAIN DR,78733,Residential,5128328900,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696659,2026-05-01T00:00:00+00:00,"{""permittype"": ""EP"", ""permit_type_desc"": ""Electrical Permit"", ""permit_number"": ""2026-054365 EP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""Residential"", ""work_class"": ""New"", ""condominium"": ""No"", ""permit_location"": ""722 CRYSTAL MOUNTAIN DR"", ""description"": ""New Service for SFR in ETJ"", ""tcad_id"": ""0121380110"", ""legal_description"": ""LOT 17 BLK B CRYSTAL MOUNTAIN AT BARTON CREEK SEC 1"", ""applieddate"": ""2026-05-01T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-28T00:00:00.000"", ""total_new_add_sqft"": ""7000"", ""number_of_floors"": ""1"", ""housing_units"": ""1"", ""original_address1"": ""722 CRYSTAL MOUNTAIN DR"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78733"", ""jurisdiction"": ""AUSTIN 2 MILE ETJ"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696659""}, ""project_id"": ""13696659"", ""latitude"": ""30.31192076"", ""longitude"": ""-97.87172921"", ""location"": {""latitude"": ""30.31192076"", ""longitude"": ""-97.87172921"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}, ""contractor_trade"": ""Electrical Contractor"", ""contractor_company_name"": ""PowerHouse Electrical Services"", ""contractor_full_name"": ""Russell Neal"", ""contractor_phone"": ""5128328900"", ""contractor_address2"": ""1901  Waukes"", ""contractor_city"": ""Pflugerville"", ""contractor_zip"": ""78660"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-038308 PP,Total demo of sfr 1732 sqft circa 1980,2026-05-01T00:00:00+00:00,Demolition,Plumbing Permit,,TRUJILLOS BROTHERS PLUMBING,Active,3202 EANES CIR,78746,Residential,5129634349,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13678296,2026-05-01T00:00:00+00:00,"{""permittype"": ""PP"", ""permit_type_desc"": ""Plumbing Permit"", ""permit_number"": ""2026-038308 PP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 645 Demolition One Family Homes"", ""work_class"": ""Demolition"", ""condominium"": ""No"", ""permit_location"": ""3202 EANES CIR"", ""description"": ""Total demo of sfr 1732 sqft circa 1980"", ""tcad_id"": ""0106160712"", ""legal_description"": ""LOT 16 BLK B BEECAVE WOODS SEC 2"", ""applieddate"": ""2026-03-20T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2028-04-06T00:00:00.000"", ""total_existing_bldg_sqft"": ""1"", ""original_address1"": ""3202 EANES CIR"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78746"", ""council_district"": ""8"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13678296""}, ""project_id"": ""13678296"", ""masterpermitnum"": ""13678291"", ""latitude"": ""30.26787243"", ""longitude"": ""-97.80241124"", ""location"": {""latitude"": ""30.26787243"", ""longitude"": ""-97.80241124"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}, ""contractor_trade"": ""Plumbing Contractor"", ""contractor_company_name"": ""TRUJILLOS BROTHERS PLUMBING"", ""contractor_full_name"": ""SAUL TRUJILLO"", ""contractor_phone"": ""5129634349"", ""contractor_address2"": ""13425  HARRY"", ""contractor_city"": ""MANOR"", ""contractor_zip"": ""78653"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-041821 EP,"Interior alteration of an existing office space including a new demising wall to create separate suites 260 & 265 - (2) applications

Suite 260",2026-05-01T00:00:00+00:00,Remodel,Electrical Permit,,T M Electric,Active,5000 PLAZA ON THE LAKE,78746,Commercial,5128348174,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13682283,2026-05-01T00:00:00+00:00,"{""permittype"": ""EP"", ""permit_type_desc"": ""Electrical Permit"", ""permit_number"": ""2026-041821 EP"", ""permit_class_mapped"": ""Commercial"", ""permit_class"": ""C-1000 Commercial Remodel"", ""work_class"": ""Remodel"", ""condominium"": ""No"", ""permit_location"": ""5000 PLAZA ON THE LAKE"", ""description"": ""Interior alteration of an existing office space including a new demising wall to create separate suites 260 & 265 - (2) applications\n\nSuite 260"", ""tcad_id"": ""0135150328"", ""legal_description"": ""LOT 1 HERMOSA OFFICE PARK"", ""applieddate"": ""2026-03-27T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-28T00:00:00.000"", ""remodel_repair_sqft"": ""7223"", ""number_of_floors"": ""3"", ""housing_units"": ""1"", ""electrical_valuation_remodel"": ""60000"", ""original_address1"": ""5000 PLAZA ON THE LAKE"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78746"", ""council_district"": ""10"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13682283""}, ""project_id"": ""13682283"", ""masterpermitnum"": ""13682227"", ""latitude"": ""30.34910559"", ""longitude"": ""-97.80157688"", ""location"": {""latitude"": ""30.34910559"", ""longitude"": ""-97.80157688"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}, ""contractor_trade"": ""Electrical Contractor"", ""contractor_company_name"": ""T M Electric"", ""contractor_full_name"": ""Tim Moll"", ""contractor_phone"": ""5128348174"", ""contractor_address2"": ""9802  Gray B"", ""contractor_city"": ""Austin"", ""contractor_zip"": ""78758"", ""certificate_of_occupancy"": ""No""}",2026-05-03T10:54:27.260194+00:00
2026-050810 PP,Replacement of an existing water heater Replace water heater,2026-05-01T00:00:00+00:00,Change Out,Plumbing Permit,,Nueva Era Plumbing  Services LLC,Active,2011 BRENTWOOD ST,78757,Residential,5125845521,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692661,2026-05-01T00:00:00+00:00,"{""permittype"": ""PP"", ""permit_type_desc"": ""Plumbing Permit"", ""permit_number"": ""2026-050810 PP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""Residential"", ""work_class"": ""Change Out"", ""permit_location"": ""2011 BRENTWOOD ST"", ""description"": ""Replacement of an existing water heater Replace water heater"", ""tcad_id"": ""0233050205"", ""legal_description"": ""LOT 22 BRENTWOOD TERRACE NO 2"", ""applieddate"": ""2026-04-24T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-28T00:00:00.000"", ""original_address1"": ""2011 BRENTWOOD ST"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78757"", ""council_district"": ""7"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692661""}, ""project_id"": ""13692661"", ""latitude"": ""30.3405809"", ""longitude"": ""-97.73577323"", ""location"": {""latitude"": ""30.3405809"", ""longitude"": ""-97.73577323"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}, ""contractor_trade"": ""Plumbing Contractor"", ""contractor_company_name"": ""Nueva Era Plumbing  Services LLC"", ""contractor_full_name"": ""Eric Garcia"", ""contractor_phone"": ""5125845521"", ""contractor_address2"": ""129  LEXINGT"", ""contractor_city"": ""McDade"", ""contractor_zip"": ""78650""}",2026-05-03T10:54:27.260194+00:00
2026-052281 BP,Brahman 3318 B Right New - 2 Story SFR CONDOMINUM w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 682.10 Site Pla,2026-05-01T00:00:00+00:00,New,Building Permit,0.0,Eva Mata,Active,700 BOLEY DR,78652,Residential,,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694284,2026-05-01T00:00:00+00:00,"{""permittype"": ""BP"", ""permit_type_desc"": ""Building Permit"", ""permit_number"": ""2026-052281 BP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 101 Single Family Houses"", ""work_class"": ""New"", ""condominium"": ""Yes"", ""permit_location"": ""700 BOLEY DR"", ""description"": ""Brahman 3318 B Right New - 2 Story SFR CONDOMINUM w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 682.10 Site Pla"", ""tcad_id"": ""0451150901"", ""applieddate"": ""2026-04-15T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-29T00:00:00.000"", ""total_new_add_sqft"": ""2946"", ""total_job_valuation"": ""0"", ""number_of_floors"": ""2"", ""housing_units"": ""1"", ""original_address1"": ""700 BOLEY DR"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78652"", ""council_district"": ""5"", ""jurisdiction"": ""AUSTIN LTD"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694284""}, ""project_id"": ""13694284"", ""masterpermitnum"": ""13687455"", ""contractor_trade"": ""General Contractor"", ""contractor_full_name"": ""Eva Mata"", ""contractor_phone"": ""512"", ""contractor_city"": ""Austin"", ""applicant_full_name"": ""Eva Mata"", ""applicant_phone"": ""512"", ""applicant_city"": ""Austin"", ""certificate_of_occupancy"": ""Yes"", ""total_lot_sq_ft"": ""0""}",2026-05-03T10:54:27.260194+00:00
2026-053685 BP,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1bath] over Attached Garage. Unit B,2026-05-01T00:00:00+00:00,New,Building Permit,0.0,Co-Sci Construction LLC **MAIN**,Active,1812 MARGARET ST UNIT B,78704,Residential,4693941563,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695855,2026-05-01T00:00:00+00:00,"{""permittype"": ""BP"", ""permit_type_desc"": ""Building Permit"", ""permit_number"": ""2026-053685 BP"", ""permit_class_mapped"": ""Residential"", ""permit_class"": ""R- 103 Two Family Bldgs"", ""work_class"": ""New"", ""condominium"": ""No"", ""permit_location"": ""1812 MARGARET ST UNIT B"", ""description"": ""ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1bath] over Attached Garage. Unit B"", ""tcad_id"": ""0102051616"", ""legal_description"": ""LOT 4 BLK A SOUTH LUND SOUTH"", ""applieddate"": ""2026-03-13T00:00:00.000"", ""issue_date"": ""2026-05-01T00:00:00.000"", ""day_issued"": ""FRIDAY"", ""calendar_year_issued"": ""2026"", ""fiscal_year_issued"": ""2026"", ""issued_in_last_30_days"": ""Yes"", ""issue_method"": ""Permit Center"", ""status_current"": ""Active"", ""statusdate"": ""2026-05-01T00:00:00.000"", ""expiresdate"": ""2026-10-29T00:00:00.000"", ""total_new_add_sqft"": ""1150"", ""total_job_valuation"": ""0"", ""number_of_floors"": ""2"", ""housing_units"": ""1"", ""original_address1"": ""1812 MARGARET ST UNIT B"", ""original_city"": ""AUSTIN"", ""original_state"": ""TX"", ""original_zip"": ""78704"", ""council_district"": ""5"", ""jurisdiction"": ""AUSTIN FULL PURPOSE"", ""link"": {""url"": ""https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695855""}, ""project_id"": ""13695855"", ""masterpermitnum"": ""13669625"", ""contractor_trade"": ""General Contractor"", ""contractor_company_name"": ""Co-Sci Construction LLC **MAIN**"", ""contractor_full_name"": ""Mark Roberts"", ""contractor_phone"": ""4693941563"", ""contractor_address2"": ""1504 S Walnu"", ""contractor_city"": ""Georgetown"", ""contractor_zip"": ""78626"", ""applicant_full_name"": ""Mark Roberts"", ""applicant_org"": ""Co-Sci Construction LLC **MAIN**"", ""applicant_phone"": ""4693941563"", ""applicant_address2"": ""1504 S Walnu"", ""applicant_city"": ""Georgetown"", ""applicantzip"": ""78626"", ""certificate_of_occupancy"": ""Yes"", ""total_lot_sq_ft"": ""7667""}",2026-05-03T10:54:27.260194+00:00
